先手: 高田 尚平六段
後手: 東 和男七段
手数 6: 一手損角換わりの出だしだったが、東は角道を止める。
手数 10: １０時半過ぎの局面。消費時間は高田５分、東９分。
手数 16: いつでも△３三銀と上がれるようにして、▲７九角からの飛先の歩交換を避ける。
手数 21: 高田は１８分の考慮で▲４六歩と突く。急戦矢倉含みの駒組み。
手数 22: ２８分の考慮。
手数 24: △５三銀の局面で高田が１３分考えて昼食休憩に入った。消費時間は高田５７分、東１時間２分。
手数 26: △３三銀と上がらないのは▲３七桂と跳ねられたときに△３三桂と桂馬で対抗する狙いだろう。△３三銀と上がると▲３七桂〜▲４五歩と攻められたとき△同歩と取れない形だ。
手数 28: １時間５分の長考。
手数 29: １４時半の局面。消費時間は高田１時間６分、東２時間１０分。
▲６六歩と突いたため、急戦矢倉の可能性はなくなり、穏やかな駒組み。
手数 30: ３２分の長考。
東、連続長考で作戦を練る。
手数 37: 昔流行していた、▲４七銀・▲３七桂型対△６四銀・△７三桂型の対抗形になった。
手数 39: １６時過ぎの局面。消費時間は高田１時間４２分、東３時間２分。
手数 40: 端歩を伸ばして、攻め筋を増やす。△２二玉や△７二飛を優先するべきかどうかは微妙なところ。
手数 41: △７五歩▲同歩△８五桂▲８六銀△７五銀とテンポよく攻められる手を防ぐ。
手数 43: １７時半の局面。消費時間は高田２時間６分、高田３時間３２分。
手数 44: ４１分の長考。△７五歩の攻め合いとの比較か。
手数 46: △４四銀の局面で高田が２７分考えて夕食休憩に入った。消費時間は高田２時間３７分、東が４時間２２分。
手数 47: 攻めてからジッと端歩。何かのときに△１五角とされる手を消している。
手数 48: △４五銀は▲４六歩で失敗。▲４六角の筋を消す手筋の突き捨て。
手数 53: ２０時の局面。消費時間は高田２時間５７分、東４時間３８分。
▲４五歩の仕掛けから▲１六歩とした手に続いて、味をつけてから手を戻す指し方の連続。
手数 55: 手筋の叩き。
手数 61: 手順に２七に引いてと金作りを受ける。
手数 64: ２１時の局面。消費時間は高田３時間２２分、東５時間３６分。東の残り時間は３６分。
３六にいた歩を３四に下げて、東は渋く受ける。
手数 65: ３筋をこじ開けにいく。
手数 66: 垂れ歩で嫌味をつける。後手は攻撃形が働いていないのがマイナスポイント。
手数 67: ３０分の考慮で垂れ歩を取るのは利かされと見て、攻め合い。
手数 69: ２２時の局面。残り時間は高田１時間４８分、東２７分。
手数 73: 飛車の横利きが消えるが強く指す。
手数 74: 飛車を活用する。
手数 76: ２２時半の局面。残り時間は高田１時間３０分、東２１分。手筋の桂打ち。
手数 79: △同飛なら飛車の横利きが止まる。
手数 88: 後手は△５五銀が間に合うかどうか。
手数 89: 手筋の引っ掛け。△３一金などは▲２四歩や▲３三銀があって駄目。
手数 94: 狙いの一手だが。
手数 100: △同金寄は▲同歩成△同金▲３二飛で詰み。
手数 105: 以下△同金▲同飛成△同玉▲３二金△２四玉▲１五金までの詰み。終局時刻は２３時２６分。消費時間は高田５時間１１分、東５時間４７分。勝った高田は５勝４敗、敗れた東は２勝７敗となった。
