先手: 片上 大輔四段
後手: 横山 泰明四段
手数 8: もともと四間飛車が多い横山だが、後手番ではゴキゲン中飛車が多い。
手数 18: △４二金の局面で片上が４０分考えて昼食休憩に入った。消費時間は片上が１時間１８分、横山が３９分。
最近は金で中央の位を確保しに行く指し方も多い。銀で位を確保しに行こうとすると、単に△４二銀は角が浮き駒になるので▲５六歩がある。そこで一回△３三角としなければならないが、そうすると今度は▲３六銀から角を攻められるのが嫌な意味がある。△４二金はその悩みを解決している。ただ、玉形が弱くなるので一利一害といえる。
手数 19: 昼食休憩を挟む５８分の長考。
手数 23: 飛車と金の働きがイマイチな今がチャンスと見て仕掛ける。
手数 24: １５時過ぎの局面。消費時間は片上が１時間３７分、横山が２時間２分。
手数 29: ▲２四歩を楽しみにする。
手数 30: 攻防の角打ち。
手数 34: △２五飛の捌きが見えてきた。
手数 35: ▲８六角の局面で横山が４０分考えて夕食休憩に入った。消費時間は片上が３時間２５分、横山が３時間３２分。片上は遠見の角で反撃する。銀をどのように助けるか。
手数 36: 夕食休憩をはさんで１時間４５分もの長考。これ以外の受けも難しいところ。
手数 37: △２五飛の筋を消す。
手数 41: ２１時半ごろの局面。残り時間は片上が１時間４１分、横山が１時間１２分。
△８六飛▲同歩△１五角の筋を消す、力の入った金打ち。後手は４二と３一の銀が負担になっているのが不満。
手数 42: ▲同歩なら△２五歩▲同桂△３六歩▲同飛△２五飛の狙いか。
手数 45: 厳しい。銀が助からない。
手数 47: ４四角に狙われている飛車を捌く。
手数 53: もう一枚の銀に当たって、気持ちがいい。
手数 54: ２２時３０分の局面。残り時間は片上が１時間１７分、横山が３１分。
手数 55: 角が逃げれば、▲４一と△６二銀▲同銀成△同金▲５四桂と先手先手のリズムに乗った攻めができる。
手数 56: △３七飛成では竜がソッポに行く。△８四香を見せ、竜は急所をにらむ。
手数 60: 残り時間は片上４５分、横山２８分。
手数 61: 俗手ながら厳しい。
手数 73: 後手に受けが利かない。
手数 83: 片上は詰みを読みきっている。
手数 85: 後手に香車があれば詰まないが、合駒が悪いので詰む。
手数 89: △７一玉のときに金銀３枚あれば詰むのがミソ。
手数 93: 以下は△同玉は▲３三金△２一玉▲２三香で、△３四玉は▲３五歩△２五玉▲２六金で、△５四玉は▲５五香△６四玉▲７五金△５五玉▲６六銀でいずれも詰み。終局時刻は２３時４６分。消費時間は片上５時間４４分、横山５時間３５分。勝った片上は４勝１敗、敗れた横山は３勝２敗となった。
