先手: 佐々木 慎五段
後手: 高野 秀行五段
手数 1: 佐々木は初手に１７分使った。
手数 22: 高野は急戦党、穴熊などの持久戦はほとんどやらない。
手数 27: ▲４六歩の局面で高野が４１分考えて昼食休憩に入った。消費時間は佐々木が５８分、高野が５８分。
手数 28: 最近増えている指し方。ここで、▲９八香なら△７五歩▲同歩△６四銀とする鷺宮定跡になる。
手数 29: 攻めを狙われたところに飛車を振るのは常套手段。△７五歩▲同歩△同飛は▲８八角で飛車交換してよいし、△７五歩▲同歩△６四銀は▲６五歩△７七角成▲同飛△７五銀▲７六歩△８四銀▲６六角でよい。
手数 30: ７筋だけではうまくいかないので、６筋も絡める。
手数 31: １４時の局面。消費時間は佐々木が２時間２分、高野が５８分。
▲８六歩からの攻めを見せて、後手を急がせる。
手数 39: １６時前の局面。消費時間は佐々木が２時間１５分、高野が１時間３９分。
手数 40: ５５分の長考。
手数 43: 一気に決戦へ。
手数 46: ７四歩を払いに行く。
手数 49: １７時１５分の局面。消費時間は佐々木が３時間６分、高野が２時間３６分。
飛車交換は振り飛車に理があるのが普通だが、後手は△７一歩が利くのが大きい。
手数 50: ３９分の長考。
手数 53: ▲９一飛成の局面で高野が２３分考えて夕食休憩に入った。消費時間は佐々木が３時間１２分、高野が３時間４０分。
手数 54: 攻め合いに出る。
手数 55: ５筋を突くのは筋。放っておけば▲４五銀〜▲３四銀〜▲２六香。
手数 56: 歩で取るが、先手は▲５九歩の筋ができるのがポイント。
手数 59: 端を攻める。△同歩なら▲１二歩△同香▲２三香成△同玉▲２一竜で、次に▲２四桂を狙うつもりだろうか。
手数 62: ▲同香ならそこで△１二歩と受けて、△３三角や△１六桂を楽しみにする。
手数 63: 底歩をこじ開けに行く。
手数 67: ２０時の局面。消費時間は佐々木が３時間３６分、高野が４時間１０分。
角をさばいていく。
手数 68: 端を逆襲する。
手数 75: ２１時の局面。残り時間は佐々木が１時間５８分、高野が１時間１７分。
手数 105: ２２時の局面。残り時間は佐々木が１時間４４分、高野が４７分。
手数 111: 竜取りになっている。△８二竜▲８三歩△同竜▲６四歩と強く攻め合われると、先手陣が安泰で後手陣はバラバラになっていて、とても戦いきれないと見て、高野の投了となった。終局時刻は２２時１４分。消費時間は佐々木４時間１７分、高野５時間２０分。勝った佐々木は４勝２敗、敗れた高野は３勝３敗となった。
