先手: 達 正光六段
後手: 広瀬 章人四段
手数 25: ▲６六歩と受ける形もある。
手数 31: ▲６八金寄の局面で広瀬が１４分考えて昼食休憩に入った。消費時間は達が１時間１０分、広瀬が４１分。
手数 34: １４時の局面。消費時間は達が１時間２１分、広瀬が１時間１４分。
ここ数手互いに小考を繰り返している。序盤の岐路といえる。
手数 47: １５時５０分の局面。消費時間は達が２時間４１分、広瀬が１時間４６分。
手数 48: 振り飛車から仕掛けた。
手数 52: 振り飛車らしい軽い突き捨て。
手数 57: １７時１５分の局面。消費時間は達が３時間１０分、広瀬が２時間３９分。
手数 58: △５七歩成の局面で達が３５分考えて夕食休憩に入った。消費時間は達が３時間４５分、広瀬が３時間４分。
手数 63: 角切り、飛切りの連続大技から攻め立てる。
手数 64: 終盤は駒の損得よりもスピード。
手数 66: 消費時間は達３時間５１分、広瀬３時間３０分。
手数 68: 攻防の角
手数 70: 穴熊らしい切込み。▲同銀は△６八金のつもり。
手数 73: 懸命の受け。
手数 83: ▲同馬は△５九飛が詰めろ馬取り。
手数 89: 消費時間は達４時間２６分、広瀬３時間５９分。
手数 101: 広瀬は４分考えて攻防ともに見込みなしと判断、投了となった。終了時刻は２１時４４分。消費時間は達４時間３２分
、広瀬４時間４０分。これにより両者１勝１敗となった。
