先手: 田村 康介六段
後手: 糸谷 哲郎四段
手数 3: ▲７五歩を突くと「糸谷流・対振り飛車右玉」には組みにくい。
手数 5: 田村は石田流を目指す。
手数 14: 記者が対局開始時の写真を撮りに本局が行なわれている芙蓉の間に入ったところ、既にこの局面だった。時刻は１０時３分頃。
手数 17: 記者が写真を撮る数十秒の間に３手進んだ。
手数 18: ここで両者を通じて初の消費時間「１分」が記録された。時刻はまだ１０時５分頃。
手数 37: ノータイムで仕掛ける田村。
手数 39: ここまでノータイム指しを続けていた田村、ここで初めて１分使った。
手数 41: １１時過ぎの局面。消費時間は▲田村２分、△糸谷４３分。
手数 46: 糸谷はここで２３分考えた。ほとんど消費時間が記録されず、恐らくビシバシと指しているであろう田村に対し、糸谷は一手一手に数分ずつ考え、慎重に指している。
手数 55: この局面で糸谷が１５分考えて昼食休憩に入った。ここまでの消費時間は▲田村１３分、△糸谷１時間４１分。
手数 70: ３６分。糸谷にしては長考で香車を打った。ここまでの消費時間は▲田村２１分、△糸谷２時間２５分。
手数 92: ▲４一竜△同銀▲同飛成は△３一金で受け切れると見切っているようだ。
手数 101: １５時過ぎの局面。ここまでの消費時間は▲田村４７分、△糸谷２時間５９分。
棋士室の見解は糸谷勝勢。
手数 104: この局面で田村は１０分考え、次の手を指さずに投了した。田村は投了図の１０分が本局再長考、無念の結果となった。消費時間は▲田村１時間５分、△糸谷３時間ちょうど。勝った糸谷は５勝３敗、敗れた田村は２勝６敗となった。
