先手: 佐藤 和俊四段
後手: 山本 真也五段
手数 4: 右四間飛車を狙った指し方。珍しい手だが、公式戦では４４局指され、そのうち山本が１３局指している。
手数 9: ここで△２八角を狙って、△６五歩と仕掛けるのは▲同歩△８八角成▲同銀△２八角▲６四歩△７二銀▲９六角△５二金右▲同角成△同金▲１八金と進み、先手が駒得となる。
手数 12: １０時４５分ごろの局面。消費時間は佐藤和２６分、山本１６分。
手数 15: ここで△６五歩は▲６七銀△６六歩▲同角で、△６六同角と角交換になるなら、直前の△３三角が無駄手になるので先手不満なし。
手数 19: １１時４０分ごろの局面。消費時間は佐藤和５６分、山本２４分。
手数 20: △３二金の局面で佐藤和が１９分考えて昼食休憩に入った。消費時間は佐藤和１時間１５分、山本４６分。
山本は穴熊を視野に入れた指し方。
手数 22: 山本は穴熊に囲う。
手数 29: １４時の局面。消費時間は佐藤和１時間２５分、山本１時間９分。
手数 30: ３３分の長考。
手数 31: 佐藤和も同じく３３分の長考。
手数 32: １５時ごろの局面。消費時間は佐藤和１時間５８分、山本１時間５１分。右金を３一に持っていく構想。△４二金上とする手もある。本譜は堅さ重視。前の△５一金の長考で構想を決めたのだろう。
手数 34: ２６分の考慮。慎重な時間の使い方だ。
手数 36: １６時過ぎの局面。消費時間は佐藤和２時間８分、山本２時間４５分。山本は２８分の考慮で攻めを狙う。
手数 37: ２２分の考慮。序盤戦から中盤戦に移行する直前だけに互いに慎重だ。
手数 41: １７時過ぎの局面。消費時間は佐藤和２時間３６分、山本３時間４分。
手数 42: １時間１０分の長考で歩を取った。△３五同歩の局面で佐藤和が７分考えて夕食休憩に入った。消費時間は佐藤和２時間４３分、山本４時間１４分。
手数 48: ２０時前の局面。消費時間は佐藤和３時間３分、山本４時間２１分。
山本は角を転換して攻めの継続を図る。
手数 49: ４０分の長考。△７五角は▲７六飛で後手の駒が重い。
手数 52: ２１時前の局面。消費時間は佐藤和３時間４４分、山本４時間３９分。▲４七金左に△６四角を見せている。角は８四にいるよりも６四にいた方が良い。△６四角の次の狙いは△４四歩から△４五歩。「そうなんや、そうなんや、それが突きたかったんやー」と千葉五段と上野五段。
手数 53: ２９分の考慮で銀を引いた。
手数 56: △４五歩の攻め、△４三銀の守りと一石二鳥。
手数 63: 一転して大さばきになった。
手数 64: 互いに鉄壁。どちらが先に攻め込むか。
手数 65: ２１時５０分ごろの局面。残り時間は佐藤和１時間２６分、山本１時間６分。
数手前の▲７七桂は遊び駒の活用とともに、ここで△７九飛成と侵入されるのを防いでいる。
手数 68: 急所に手をつける。
手数 69: 攻防の角打ちで切り返す。
手数 73: 渋い。簡単には取らせない。△８九飛成から取りにいくのは二段目の龍が先手陣に脅威がない。
