先手: 上野 裕和四段
後手: 淡路 仁茂九段
手数 4: 淡路、この一手に３０分考えた。
手数 7: 上野の作戦は中飛車。
手数 9: １１時頃の局面。ここまでの消費時間は▲上野６分、△淡路３６分。
手数 17: この局面で淡路が９分考えて昼食休憩に入った。ここまでの消費時間は▲上野４４分、△淡路１時間１８分。
手数 24: １４時過ぎの局面。ここまでの消費時間は▲上野１時間、△淡路１時間５１分。
手数 36: １５時半頃の局面。ここまでの消費時間は▲上野１時間４１分、△淡路２時間１５分。
手数 37: ５２分の長考。
手数 38: １６時半頃の局面。ここまでの消費時間は▲上野２時間３３分、△淡路２時間３２分。
手数 39: ここでも４２分の長考。
手数 43: この局面で淡路が５５分考えて夕食休憩に入った。ここまでの消費時間は▲上野３時間３０分、△淡路３時間２９分。
手数 44: 夕食休憩を挟んで５７分の考慮。
手数 47: ２０時半頃の局面。ここまでの消費時間は▲上野３時間５２分、△淡路３時間４２分。
手数 48: １時間１２分の長考で打たれた歩だが、この一手の評判がよくなかった。
手数 50: 後手の飛車先を重くしてから、はっとするような角のタダ捨て。
手数 51: これで金銀両取り。
手数 56: ２１時頃の局面。ここまでの消費時間は▲上野３時間５２分、△淡路５時間ちょうど。
棋士室の見解は先手優勢。変化の一例は▲５四歩△同飛▲４五銀打△６四飛▲５四歩。
先手が駒損だが勢いよく攻めて捌けていることと、後手の玉形が悪いことが先手優勢の理由だそうだ。
手数 78: ２２時前の局面。ここまでの消費時間は▲上野４時間２２分、△淡路５時間９分。
手数 83: この局面で淡路が投了した。消費時間は▲上野４時間４２分、△淡路５時間９分。勝った上野は５勝１敗、敗れた淡路は１勝５敗となった。
