先手: 富岡 英作八段
後手: 小林 健二九段
手数 12: 早々と端を突き越す。
手数 14: １０時４５分の局面。消費時間は富岡１１分、小林健２６分。
手数 24: △８八角は▲７七角△同角成▲同銀で無効。
手数 25: ▲６六歩の局面で小林健が１９分考えて昼食休憩に入った。消費時間は富岡１時間９分、小林健５１分。
手数 27: 力を込めて指された。
手数 30: 小林健はどのような駒組みを見せるだろうか。
手数 31: 富岡は左美濃。このままで戦うか、▲７七銀〜▲７八金と矢倉に組み替えるか。
手数 32: 小林は玉を動かさずに駒組みを進める。右玉の可能性もある。
手数 36: １４時ごろの局面。消費時間は富岡１時間５１分、小林５４分。
手数 37: 富岡は速攻含みに桂を跳ねた。
手数 40: ▲４五歩の仕掛けが見えているが、堂々と飛車を引いた。
手数 41: ３八で歩を空打ちして勢いをつけてから▲４五歩が着手された。
手数 42: １５時ごろの局面。消費時間は富岡２時間２９分、小林健１時間。
手数 45: １６時ごろの局面。消費時間は富岡３時間５３分、小林健１時間。
金をソッポに行かせる手筋。
手数 48: 戦いが始まっており、△４二玉などとしている場合ではない。
手数 50: 攻防の角打ち。
手数 55: 先手は桂損なので、ガンガンいきたいところ。
手数 58: １７時２０分の局面。消費時間は富岡４時間２６分、小林健１時間２０分。
手数 61: 遠見の角で攻めを続ける。
手数 67: ▲３五角の局面で小林健が１１分考えて夕食休憩に入った。消費時間は富岡５時間２分、小林健１時間４７分。
手数 68: 手厚い銀打ち。
手数 70: この金の活用が間に合ったのは大きい。
手数 72: 角取りを催促。
手数 74: これで銀桂と角の二枚換え。
手数 77: 力強く金を繰り出して戦力を増強する。
手数 78: 待望の反撃。
手数 83: 後手の玉頭を狙う。２六角も活動範囲が広くなった。
手数 86: 端を集中的に狙う。
手数 88: ２０時の局面。消費時間は富岡５時間３６分、小林健２時間４分。
手数 91: 富岡、残り２０分。
手数 96: 挟撃を狙う。
手数 102: 角を捕獲して好調。
手数 114: ここで富岡の投了。▲同金△同銀は△５六金以下の詰めろになる。しかし、玉が逃げる場所もない。
終局時刻は２０時５０分。消費時間は富岡５時間５９分、小林健２時間１８分。勝った小林健は４勝３敗、敗れた富岡は３勝４敗となった。
