先手: 北浜 健介七段
後手: 堀口 一史座七段
手数 32: １１時過ぎ、北浜４１分、堀口１分。
手数 37: 機敏に動く。△３三銀と受けられたあとに、どういった継続手があるのだろう。
手数 38: ここで休憩に入った。消費時間は１時間４９分。堀口５分。
手数 39: 数で。
手数 40: １４時頃、消費時間は北浜２時間１９分、堀口１６分。
手数 41: ▲６五同角△同歩の形は、次に△７五歩と飛車の横利きを通す手が味良し。北浜は踏み込んだ。
手数 45: これで一段落。先手の主張は後手陣を崩したこと。後手の主張は４七、５七に穴を作ったこと。
手数 49: １６時半頃、消費時間は北浜３時間３０分、堀口２６分。
手数 53: 馬を消しながら、手順に３筋の伸ばす。狙いは桂頭。
手数 57: ここで夕食休憩。前節では早い時間に敗戦した堀口だったが、本局はまだまだ長そうだ。
消費時間は北浜３時間４９分、堀口３時間４分。
手数 62: 堀口の攻め、北浜の受け。
手数 65: 大きく指す。２１時過ぎ、消費時間は北浜４時間５１分、堀口３時間５８分。
手数 70: 堀口はこの転換に期待した。
手数 76: 次の△２九角を楽しみに、じっと引く。
手数 77: これで後手からの攻めが止まっていれば、五歩得が生きてきそうだ。
手数 80: ２２時過ぎ、消費時間は北浜５時間２７分、堀口４時間２１分。
手数 87: 開き王手。消費時間は残りは北浜２０分、堀口１時間４分。
手数 89: やるだけやってから受けに回った。
手数 119: ここで終局。消費時間は北浜５時間５９分、堀口５時間５７分。勝った北浜は３勝２敗、敗れた堀口は１勝５敗となった。
