先手: 橋本 崇載六段
後手: 脇 謙二八段
手数 16: 横歩取り△３三桂戦法を指しこなす棋士はほとんどいない。矢倉の脇システムと並び、脇の代名詞にもなっている戦法だ。
手数 21: １１時半頃の局面。ここまでの消費時間は▲橋本３８分、△脇９分。
手数 22: ２９分の考慮。
手数 24: 横歩を取った。脇はヒザを痛めているそうで、指すたびに棋士室に降りてきて椅子に座っている。「椅子対局できへんかなあ」と辛そうにしていた。
この局面で橋本が３０分考えて昼食休憩に入った。ここまでの消費時間は▲橋本１時間１４分、△脇４５分。
手数 25: 昼食休憩を挟んで４５分の長考。
手数 26: △４二銀と受けるのは３二金が浮くため、△４五桂と跳ねられない。
手数 28: ３０分考えて、角頭を狙った。
ここまでの消費時間は▲橋本１時間３０分、△脇１時間３７分。
手数 29: 後手の飛車を圧迫しにいく。
手数 33: ▲８七銀を指して棋士室に姿を見せた橋本、「これで序盤にあほなことしたってばれないだろう。全ての手を生かした」と独り言。一体どの手が「あほなこと」だったのか、真相は不明。
手数 34: １５時頃の局面。ここまでの消費時間は▲橋本１時間５３分、△脇２時間１１分。
手数 44: 相振り飛車の金無双と思えば、先手陣が不安定にも見える。
手数 45: ここまでの消費時間は▲橋本２時間４９分、△脇２時間４９分。
手数 46: ４２分の長考で銀を活用した。
手数 48: この局面で橋本が２０分考えて夕食休憩に入った。ここまでの消費時間は▲橋本３時間１０分、△脇３時間４６分。
手数 56: 棋士室では図から▲８四歩で先手が指せるのではないかと言われている。以下、△８四同歩▲同銀△８三歩▲９三銀成△同玉▲９五香△８二玉▲９三歩が変化の一例。
手数 57: ２０時頃の局面。ここまでの消費時間は▲橋本３時間５９分、△脇３時間５６分。
手数 58: 飛車の横利きを通して受ける。
手数 85: この局面で脇が投了した。消費時間は▲橋本５時間３分、△脇５時間２６分。勝った橋本は３連勝、敗れた脇は３連敗となった。
