先手: 飯塚 祐紀六段
後手: 山崎 隆之七段
手数 32: １１時頃の局面。ここまでの消費時間は▲飯塚３３分、△山崎２７分。
手数 37: この局面で山崎が１３分考えて昼食休憩に入った。ここまでの消費時間は▲飯塚４７分、△山崎１時間２分。
手数 39: １４時頃の局面。ここまでの消費時間は▲飯塚１時間８分、△山崎１時間２６分。
手数 47: １５時頃の局面。ここまでの消費時間は▲飯塚１時間３３分、△山崎２時間６分。
手数 54: １６時頃の局面。ここまでの消費時間は▲飯塚２時間１分、△山崎２時間３５分。
手数 64: この局面で飯塚が１９分考えて夕食休憩に入った。ここまでの消費時間は▲飯塚３時間２３分、△山崎３時間２１分。
先手が銀桂交換の駒得だが、３六銀と９六桂で左右挟撃体勢を築けている後手が指しやすい、と棋士室は見解を出している。
手数 80: ２０時頃の局面。ここまでの消費時間は▲飯塚３時間５３分、△山崎３時間５１分。
手数 81: 夕食休憩明けにも山崎は時折棋士室に姿を見せるが、形勢を悲観しているようだ。実際に、次の▲２六桂が厳しいと言われている。
手数 87: ２１時過ぎの局面。ここまでの消費時間は▲飯塚４時間３４分、△山崎４時間１３分。
手数 96: ２２時頃の局面。消費時間は▲飯塚５時間１８分、△山崎４時間１７分。
手数 110: この局面で飯塚が投了した。消費時間は▲飯塚５時間４２分、△山崎４時間３２分。勝った山崎は６勝２敗、敗れた飯塚は４勝４敗となった。
