先手: 行方 尚史七段
後手: 森 けい二九段
手数 14: 藤井システムの出だしだったが、普通の駒組みに戻した。
手数 21: 穴熊に囲う。
手数 35: 昔は金は７九に寄るものだったが、現在では７八が常識となっている。
手数 38: 前手△５四歩に１６分考えた森。この△８四歩にもじっくりと２４分考えた。
手数 39: 松尾流穴熊の完成。松尾流穴熊が完成すれば居飛車十分といわれている。森の対策が見物だ。
手数 40: △２二飛の局面で行方が５分考えて昼食休憩に入った。昼食休憩までの消費時間は行方１９分、森１時間３５分。△２二飛で４２分と３手連続長考の森、気合十分だ。昼食の注文は森がうな重と赤だし、行方はなし。
手数 43: ６８分の長考の末に力強い手つきで歩を突いた。▲３七桂〜▲４八飛から４筋の歩の交換や、△５一角を▲４五歩△同歩▲６五歩の筋を見せて牽制する狙い。
手数 45: 前手の▲４六歩に続き、８４分の長考。序盤で妥協しない
行方らしい時間の使い方だ。
手数 46: 振り飛車らしい軽い手。▲同歩だと△５五歩▲同歩△同飛▲５六歩△３五飛と捌ける。
手数 47: 長考での読み筋か、行方はすぐに飛車を浮いた。
手数 48: １６時４５分の局面。消費時間は行方３時間１１分、森１時間５６分。
手数 56: １７時３０分の局面。消費時間は行方３時間２５分。森２時間５１分。
手数 58: △５一飛で行方が１８分考えて夕食休憩に入った。消費時間は行方３時間４９分。森３時間６分。夕食の注文は森がきつねそば、行方はなし。
手数 59: 夕食休憩後すぐに指した。
手数 60: ２０時の局面。消費時間は行方３時間４９分。森３時間３７分。森は３１分の長考で飛車を回った。。照準を３筋に絞る。狙いは△５一角〜△３六歩▲同飛△３五銀だ。
手数 63: 角が６八のままでは使えないので方向転換。
手数 64: 敵陣の深くに歩を垂らして、先手からの攻めを牽制する。
手数 66: ２１時過ぎの局面。残り時間は行方１時間１分、森２時間１８分。
手数 78: ２２時の局面。残り時間は行方５１分、森１時間４１分。
手数 79: あらかじめ角のラインを防いだ。次に飛車を取るのだろうか。
手数 81: 森の△３七歩成に間髪入れずに歩を突いた。
手数 92: 行方の持ち時間が少ないこともあり局面がどんどん進んでいく。
手数 96: 残り時間は行方２８分、森１時間１６分。
手数 104: 森、気合よく踏み込む。
手数 107: 残り時間は行方１１分、森４０分。
手数 110: 歩で受けられるのは大きいか。森は即座に打った。
