先手: 真部 一男八段
後手: 所司 和晴七段
手数 21: ▲７四同飛の局面で所司が４２分考えて昼食休憩に入った。消費時間は真部が３７分、所司が１時間２２分。
手数 22: 昼食休憩を挟む、４６分の長考で玉を固めた。
手数 26: 玉と反対側になるが、手堅く守る。
手数 28: ひねり飛車に対してよく見られる玉形。横からの攻めに強い。
手数 31: １４時の局面。消費時間は真部が１時間７分、所司が１時間４５分。
手数 42: １５時５０分の局面。消費時間は真部が２時間８分、所司が２時間２７分。
△７三金で△７五銀は▲同角△同歩▲同飛で飛成が受からない。目先の駒得よりも駒の活用を最優先するのがプロの大局観だ。
手数 43: △同歩は▲５四歩△同歩▲５三銀でつぶれる。
手数 50: １７時１５分の局面。消費時間は真部が２時間４７分、所司が３時間５分。
手数 53: 真部らしい筋のいい攻めを見せている。
手数 58: △４四同銀の局面で真部が２６分考えて夕食休憩に入った。消費時間は真部が３時間３１分、所司が３時間２０分。
手数 63: 消費時間は真部３時間５４分、所司３時間２２分。
手数 81: 消費時間は真部４時間２分、所司４時間２８分。
