先手: 川上 猛六段
後手: 武市 三郎六段
手数 14: 武市は向かい飛車。
手数 19: １０時半過ぎの局面。消費時間は川上１分、武市２５分。
手数 20: 急戦向かい飛車。飛車交換をしたときに▲２三飛などと打たれるのを防いでいる。
手数 27: △４五歩の筋を警戒。
手数 28: 武市は△８二玉〜△７二銀の美濃囲いではなく、早囲いに構える。
手数 32: 先手の角筋が止まり、▲４五歩の仕掛けがなくなったので、陣形を組み替える。
手数 34: △１四歩の局面で川上が６分考えて昼食休憩に入った。消費時間は川上２１分、武市１時間３５分。
手数 41: 川上は左美濃。
手数 45: １４時半の局面。消費時間は川上５７分、武市２時間８分。
▲５七銀型ではバランスが悪いと見て▲４七銀型に組み替える。
手数 46: ４０分の長考で攻めていく。
手数 50: 武市は３筋に位を張る。▲３五同銀は△３六歩。
手数 54: 後手は右玉戦法のような陣形になった。
手数 58: ２３分の考慮。
手数 59: １６時過ぎの局面。消費時間は川上１時間１２分、武市３時間２９分。
手数 60: １時間８分の長考。４筋からの攻めを狙う。△４三金を上がって中央に駒を活用させる手も有力だ。
手数 63: １７時半の局面。消費時間は川上１時間１８分、武市４時間４５分。武市の残り時間は１時間１５分。
手数 68: △４一飛から一連の狙いの攻め。▲同角は△４七飛成。
手数 71: ▲５一銀の局面で武市が２９分考えて夕食休憩に入った。消費時間は川上１時間２７分、武市５時間２１分。武市の残り時間は３９分になっている。
川上は割り打ちで切り返す。
手数 72: 夕食休憩をはさんで３９分の長考。武市残り２９分。
手数 74: ２枚換えでなおかつ、駒を玉側へ近づけて味がいい。
手数 76: 高美濃の急所を突く桂頭攻め。
手数 82: この控え桂が急所。
手数 85: 玉を引いてあたりを軽くする。▲８八角の含みもある。
手数 87: ２０時の局面。消費時間は川上１時間４４分、武市５時間５３分。武市の残り時間は７分。
手数 88: 手筋の叩き。▲同銀は△８七桂成。▲同金は△４四角から攻めを続ける。
手数 95: ▲８五金と逃げているようでは勝負所がない。
手数 97: 角を詰ましたが。
手数 98: 一閃。▲同金に△８七銀とかぶせる。武市はここで２分使い、残り３分。
手数 101: ▲７七金は△８八銀成▲同玉△４四角。
手数 102: 投了以下▲同角なら△９七桂▲同香△９八金で詰み。他に適当な手段なく川上の投了となった。終局時刻は２０時３０分。消費時間は川上２時間３分、武市５時間５７分。勝った武市は５勝４敗、敗れた川上は６勝３敗となった。
