先手: 室岡 克彦七段
後手: 遠山 雄亮四段
手数 11: 「高雄」の間で行われている▲長岡−△真部戦と同じ進行。
手数 23: ここまで▲長岡−△真部戦とまったく同じ進行だったが、ここで別れた。長岡は▲５六銀と上がっていた。
手数 26: １１時の局面。消費時間は室岡１０分、遠山１６分。
手数 27: 室岡▲７五歩に４３分の長考。後手の駒組みを押さえる位取り。
手数 31: ▲７八金の局面で遠山が１２分考えて昼食休憩に入った。消費時間は室岡１時間７分、遠山４８分。
手数 33: １４時１５分頃の局面。消費時間は室岡１時間４３分、遠山５２分。室岡、▲８五歩に３６分の長考。
手数 34: ３１分の長考で局面を打開する自陣角を放つ。
手数 35: 室岡は４４分の連続長考。
手数 36: 遠山は銀をさばいていく。
手数 40: １５時半頃の局面。消費時間は室岡２時間２７分、遠山１時間４１分。
手数 41: ２２分の考慮。先手はうまく陣形をまとめられれば位取りが生きそうか。
手数 42: ３１分の長考。直前の▲６六歩をとがめるために再び銀を５五へ打っていく。
手数 43: １６時４５分頃の局面。消費時間は室岡３時間１５分、遠山２時間１２分。
室岡、２６分の連続考慮。▲６七金右よりもバランスを重視した指し方。
手数 45: もう一枚歩を損するのは辛い。軽くかわしておく。
手数 51: ▲７八玉の局面で遠山が２８分考えて夕食休憩に入った。消費時間は室岡３時間５８分、遠山２時間５９分。
手数 54: △１四歩は角を１三へ引く手を作ったものだった。
手数 55: ▲７四歩を狙った「遠見の角」
手数 56: 控え室では「ひえ〜」と驚きの声。
手数 57: 玉を厚みに近づける。
手数 59: ２０時の局面。消費時間は室岡４時間３０分、遠山３時間１３分。遠山としては先手が歩切れなのが付け目。
手数 65: 後手の攻めを催促する。
手数 69: 美濃囲いの急所を攻める桂打ち。
手数 70: ２２時過ぎの局面。残り時間は室岡５８分、遠山２時間１１分。
手数 73: 手厚く攻めていく。
手数 74: ２１時４０分の局面。残り時間は室岡５５分、遠山１時間４９分。
厚み命の精神。▲同金なら△７五歩▲同角△７四歩▲８六角△７五桂の要領だ。
手数 75: 先手も厚みは譲れない。目の前の利益よりも将来の利益が大事。
手数 79: こうなると先手が厚みで勝っているか。
手数 80: うまいタイミングで飛車を追う。
手数 82: ２２時の局面。残り時間は室岡４６分、遠山１時間３６分。７筋の厚みの争いが急所になってきた。互いに譲れない。
手数 85: 厚み至上主義な一手。とにかくどちらが厚い陣形かが本局キーポイント。歩があれば▲７四歩だが、歩がないので銀で代用。
手数 87: 後手の玉頭の厚みを削る。お釣りは返ってくるという考え方。
手数 88: 残り時間は室岡２２分、遠山１時間３０分。２２時半を過ぎた。
手数 91: 厳しい端攻め。△８五歩も手抜きで▲９四歩とされて△８六歩▲同飛でやぶへび。
手数 101: 「居飛車の玉頭攻めが決まったのではないか」と控え室。「居飛車勝勢です」の声も。遠山、苦しくなった。
△同玉は▲７六飛△８四玉▲９五銀△８三玉▲９四角で詰み。
手数 104: せめて遊び駒を働かせようという手。
手数 108: 室岡残り１０分、遠山残り１時間２３分。
手数 109: 角を切って決めに行く。
手数 121: 遠山は詰みまで指して投了した。終局時刻は２３時２分。消費時間は室岡５時間５２分、遠山４時間３７分。勝った室岡は４勝６敗、敗れた遠山は３勝７敗となった。敗れた遠山は降級点が確定した。
