先手: 平藤 眞吾六段
後手: 岡崎 洋六段
手数 17: １１時ごろの局面。消費時間は平藤１８分、岡崎２８分。
手数 23: ▲４六歩と４筋を突く指し方もある。
手数 25: ▲６六歩の局面で岡崎が３０分考えて昼食休憩に入った。消費時間は平藤４６分、岡崎が１時間１１分。
手数 28: 後手は雁木の構え。二枚銀がよく働いていて中央に手厚い構えだ。
手数 29: 壁銀を解消する。
手数 30: １４時の局面。消費時間は平藤１時間６分、岡崎１時間２３分。
手数 31: 「居玉は避けよ」と格言にある。
手数 34: 角の転換を狙う。
手数 35: １５時ごろの局面。消費時間は平藤１時間３５分、岡崎１時間３４分。平藤は１筋を突き越した。△３三桂と跳ねる手には▲１四歩△同歩▲１三歩の筋を見せつつ、将来▲１七桂から▲２五桂として端を攻める筋を狙う。
手数 36: １時間３分の長考。
手数 39: スピードアップを図る。△同香ならそこで▲１七桂だろう。
手数 42: １６時の局面。消費時間は平藤１時間５７分、岡崎２時間３７分。
手数 43: ３１分の長考。△１二歩と受けるスペースを失くす手筋。
手数 46: 「大駒は近づけて受けよ」の格言通り。
手数 48: いったん出た角が、また戻ってきた。
手数 50: １７時の局面。消費時間は平藤２時間４４分、岡崎２時間４７分。
手数 53: 遊び駒を活用する。
手数 54: △９四歩の局面で平藤が４１分考えて夕食休憩に入った。消費時間は平藤３時間２５分、岡崎３時間３１分。
手数 60: 端が小康状態を得たので、再び駒組みが行われている。
手数 62: ２０時前の局面。消費時間は平藤３時間４７分、岡崎３時間５３分。
手数 72: ２１時半の局面。残り時間は平藤１時間１７分、岡崎１時間４１分。
手数 84: ２２時過ぎの局面。残り時間は平藤５６分、岡崎１時間１９分。
手数 89: ２３時前の局面。残り時間は平藤２７分、岡崎１時間４分。
手数 121: 平藤はここから１分将棋。
手数 145: 攻防の飛車打ちで迫る。
手数 156: 投了以下、▲８八玉△８七歩▲同金△同銀成▲同玉△８六歩▲８八玉△８七金で詰み。平藤の投了となった。終局時刻は０時３５分。消費時間は平藤５時間５９分、岡崎５時間４２分。

※１４８手目△８七歩に▲同金としていれば、先手玉は詰まなかったようだ。
