先手: 真田 圭一七段
後手: 窪田 義行六段
手数 4: 窪田得意の手法。力戦を狙う。窪田はこの局面を１４局指し、９勝５敗の成績を挙げている。
手数 7: △２二飛なら▲６五角を用意している。△４四角には▲７七桂と受けられる。
手数 10: ３三桂型を生かして、先手の飛車の活用を押さえる。
手数 12: 力戦の四間飛車になった。
手数 14: １１時の局面。消費時間は真田１６分、窪田３４分。
手数 22: 四間飛車に構えたにもかかわらず、△４四歩と突かなかったのは、この転換が狙いだったからだろう。これで後手から△２五歩▲同歩△同飛とぶつける狙いができた。
手数 23: 居飛車対振り飛車の対抗形では、６筋の位は大きい。
手数 24: △２五歩と仕掛けたくなるが、▲同歩△同飛▲同飛△同桂▲６四歩が激痛。▲６三歩成△同玉▲４一角を狙い、△６四同歩には▲２一飛が桂香取りの上に▲６三角の強打を狙って先手が良くなる。ここは美濃囲いにしっかり囲うところだ。
手数 26: 美濃囲いが完成した。
手数 27: ▲８八玉と寄るのは６九の金が浮き駒になるので、△２五歩の仕掛けを許す。真田は▲３七桂と跳ねて、△２五歩の仕掛けを消す慎重な指し方に出る。
手数 30: △９四歩の局面で真田が２０分考えて昼食休憩に入った。消費時間は真田１時間１４分、窪田４２分。
手数 33: 真田も美濃囲いに構えた。
手数 34: １３時４５分の局面。消費時間は真田１時間１４分、窪田５７分。窪田は金銀を中央に寄せていく。
手数 35: ２９分の考慮で好所に角を据える。四方に利く角だ。
手数 36: ２３分の考慮。窪田は自陣は完成と見て、攻めに出る。決断の一着だ。
手数 37: １４時５０分ごろの局面。消費時間は真田２時間１８分、窪田１時間２０分。▲４五桂とさばく手を見せている。
手数 41: １６時前の局面。消費時間は真田２時間２３分、窪田１時間５９分。真田は目標になりそうな桂馬をさばいた。
手数 42: ２３分考えて歩を取る。角が狭いのが怖いところだが、局面が落ち着けば歩得が生きる。
手数 43: 次に▲４六銀で角が詰む。
手数 44: 逃げ道を作る当然の一着。
手数 45: １６時４０分ごろの局面。消費時間は真田２時間４９分、窪田２時間２８分。
手数 48: 窪田の角がクルクルと一回転して、再び同じ位置に戻ってきた。
手数 49: 歩切れになるが、駒が前に出ていることを評価している。
手数 51: ▲４四同銀は後手のワナ。△同銀▲同角のときに△４六歩のたたきが厳しい。▲４六同金とは取れないし、▲５七金は△３六角とさばかれる。
手数 54: １７時２０分の局面。消費時間は真田３時間９分、窪田２時間５４分。
手数 55: 歩切れ解消を狙う。
手数 56: ▲６四同歩△同銀▲５四歩△同金のような手順が後手の理想。
手数 57: ▲５六金の局面で窪田が３６分考えて夕食休憩に入った。消費時間は真田３時間２０分、窪田３時間３０分。
金を中央に活用して、角頭を守っている。
手数 58: 夕食休憩を挟み、４１分の長考で飛車を５筋に転換する。後手の駒が中央に集結してきた。
手数 59: 互いに中央へ駒を活用する。
手数 60: 美濃囲いの急所を突く桂打ち。
手数 61: 陣形を広げて、△７六桂を緩和する。
手数 65: ２０時の局面。消費時間は真田３時間４８分、窪田３時間５９分。
手数 67: 後手に駒が入ったので、△７六桂の筋を手厚く受ける。
手数 68: 好調な角のさばき。
手数 74: 厳しい両取り。▲６八桂で受けられるが、それには△５八歩がありそうだ。
手数 75: 真田は１７分考えて、玉で金を守った。７六の金をタダで取らせるわけにはいかない。
手数 77: ▲３九角は△３一飛がある。
手数 78: 角を遊び駒にさせる。
手数 79: ２０時５０分の局面。消費時間は真田４時間１１分、窪田４時間１９分。
６０手目の△８四桂と同じく美濃囲いの急所を突く桂。
手数 80: ペタッとくっつく。
手数 81: 真田は軽くかわす。
手数 84: ７四の地点を厚くする。
手数 87: ３筋が素通しだった。
手数 88: 陣形を引き締めつつ、５一の飛車にカツを入れる。
手数 95: ２１時３５分の局面。消費時間は真田４時間２９分、窪田４時間４４分。
手数 100: ▲６四歩の当たりを避けつつ、上部に厚みを加えて△７五桂打からの寄せを狙っている。
手数 101: △７五桂打を早逃げでかわす。
手数 102: 本局、二度目の△８四桂。とにかく、この桂打ちが急所だ。
手数 105: 龍の利きで△７六桂を受ける。▲５二歩を利かしたのは、後に▲３四角を見ている。
手数 109: ２２時１５分ごろの局面。残り時間は真田１時間１３分、窪田１時間。
手数 114: △８七桂成▲同玉△８八金の詰めろ。攻防ともに見込みなしと見て真田の投了となった。終局時刻は２２時２５分。消費時間は真田４時間５０分、窪田５時間２分。勝った窪田は２勝１敗、敗れた真田は１勝２敗となった。
