先手: 島本 亮四段
後手: 遠山 雄亮四段
手数 1: 島本は兵庫県出身の２７歳、小林健二九段門下。今期は０勝３敗。通算成績は５５勝６８敗、０．４４７２。
手数 2: 遠山は東京都出身の２７歳、加瀬純一六段門下。今期４勝４敗、０．５０００。通算成績は３１勝２３敗、０．５７４１。
手数 6: 遠山はゴキゲン中飛車。東京の対局では中飛車が多かった。
手数 9: 最近流行している形。
手数 12: 遠山流と呼ばれる金上がり。
手数 13: △５五歩に▲６七銀を用意。
手数 18: ここまでの消費時間は▲島本３１分、△遠山２１分。
手数 19: ▲４六歩から▲４七銀の形もあるところ。
手数 21: ▲３七銀の局面で遠山が４２分考えて昼食休憩に入った。消費時間は島本４２分、遠山１時間１６分。
手数 22: 昼食休憩をはさんで５５分の長考。棒銀の要領で攻めていく。
手数 26: １４時の局面。消費時間は島本１時間３分、遠山１時間３６分。
手数 27: ３６分の長考。
手数 28: ２筋は一段落。玉を囲いに行く。
手数 29: 先手も歩調を合わせる。
手数 31: １５時の局面。消費時間は島本１時間５０分、遠山２時間。
手数 34: １６時の局面。消費時間は島本１時間５６分、遠山２時間４２分。△６三銀に３１分の長考。
手数 36: 「端歩は心の余裕」
手数 38: １７時過ぎの局面。消費時間は島本２時間１９分、遠山３時間１１分。
手数 39: 「開戦は歩の突き捨てから」
△同歩▲４六銀となったときにスムーズに▲５五銀と出られるようにしている。
手数 41: ついに島本は中央から動く。△７四歩と突いたので、何かのときに▲５五角のような筋がある。
手数 42: いつまでも２四にいたままでは、遊び駒になってしまう。△４四銀と活用する手を狙いつつ、△２六歩の突き出しを楽しみにする。
手数 44: 銀を中央へ活用する。
手数 45: ▲３七角の局面で遠山が３２分考えて夕食休憩に入った。消費時間は島本２時間５５分、遠山４時間１分。
島本は自陣角を放つ。後手玉のコビンを狙っている。
手数 50: コビンへ利いている角を追う。
手数 53: 天王山で頑張っている銀をしっかり支える。
手数 55: 馬ができたのは大きい。
手数 60: どうせ取られるのであれば、少しでも形を乱したほうが良い。
手数 64: ２０時の局面。消費時間は島本３時間２０分、遠山４時間２９分。
辛抱の歩打ち。
手数 65: ２枚の垂れ歩は大きい。先手が良いようだ。
手数 70: 全力で馬を追う。
手数 73: 焦土戦術で味が良い飛車の転換。
手数 75: ２１時の局面。消費時間は島本３時間３９分、遠山４時間３６分。
飛車を切っての攻め。島本は▲２三歩も楽しみだ。
手数 76: ２７分の考慮。辛抱を重ねる。
手数 83: 厳しい割り打ち。
手数 89: 一気に行く。△５二金は▲５三歩△４二金▲５四角でつぶれる。
手数 90: 遊び駒を使う。
手数 92: ４四の金よりも６四の歩を取る方が、金が受けに利く。
手数 94: ２２時前の局面。残り時間は島本２時間４分、遠山４７分。
手数 95: ３０分の長考。
手数 97: 再び２３分の長考。島本は慎重に時間を使う。
手数 99: ２２時４０分ごろの局面。残り時間は島本１時間１０分、遠山４５分。
「これは様子がおかしい」と勝又六段。難しくなってきたか。
手数 100: ▲６三金上△８四玉▲５七馬の王手飛車を避けた。
手数 103: ２３時１５分ごろの局面。残り時間は島本４８分、遠山３８分。
手数 109: ２３時４５分ごろの局面。残り時間は島本３３分、遠山２３分。
手数 114: 先手玉は受けが難しく、後手玉は詰みがない。島本の投了となった。終局時刻は２３時５２分。消費時間は島本５時間３４分、遠山５時間４０分。
