先手: 中村 修八段
後手: 屋敷 伸之九段
手数 3: 一時は振り飛車を多用していた中村だが、最近は居飛車党に戻ってきた印象がある。矢倉はもともと得意とする戦型だ。
手数 27: 脇八段が多用したことから、脇システムと呼ばれている形。研究成果をほぼそのまま実戦にぶつけることのできる、数少ない戦型のひとつ。他には角換わり腰掛銀の同型や、相横歩取りの後手番などがそれにあたる。
手数 33: ここでは▲２六歩が多いが、これもパターン化されている仕掛け。△同歩▲同角△３六歩なら、▲４六銀△４五歩▲６五歩で先手優勢になる。
手数 36: △３六歩が成立しないのであれば、後手も歩を交換してバランスをとっておくのが自然。
手数 38: ここで休憩に入った。消費時間は中村５５分、屋敷５６分。
手数 43: ここで△８五歩なら先後同型。
手数 46: 突いたら突く、打ったら打つ。同型ならではの呼吸。
手数 52: 互いに端を詰めている形は手詰まりになりやすいが、この場合は７筋の歩が切れているので逆に手が広い。
手数 55: あまり見かけない筋の角打ち。△７三銀なら▲３七桂と跳ねて、自分だけ攻撃の形を整える心算だろうか。
手数 58: ここで夕食休憩。盤上の角と、駒台の角。どちらの価値が高くなるかが優劣を分けそうだ。
消費時間は中村３時間３４分、屋敷３時間１６分。
手数 62: 好位置の角と、僻地の馬。現状は角のほうが使い勝手が良さそうだ。
手数 67: 全面攻撃。△同歩は▲２五歩、△同銀は▲２五銀。
手数 69: 桂の方で。次は▲１三桂成から▲１六香と足していく要領か。
手数 75: 先手の攻めが手厚い。いつでも▲１三角成から▲１四飛の強襲が利くのも心強い。
手数 107: 先手玉が詰まないため、屋敷はここで投了した。消費時間は中村５時間２３分、屋敷５時間９分。
