先手: 大平 武洋五段
後手: 中村 太地四段
手数 11: 後手が中飛車の場合は左美濃で戦う構想。中村太はここで▲６八銀なら△５二飛と中飛車にする作戦だろう。
手数 22: 相矢倉になった。後手が飛先不突なのは珍しい。
手数 23: １１時の局面。消費時間は大平１２分、中村２８分。
手数 30: △４二角は本譜の通りに進んで１手損の可能性がある。有効な手待ち。
手数 32: ▲７五同歩△同角のときに▲６五歩から盛り上がられることがなくなったので仕掛ける。
手数 34: △７五同角の局面で大平が１６分考えて昼食休憩に入った。消費時間は大平４６分、中村太１時間９分。
手数 35: ４六銀型を生かして中央から反撃する。
手数 36: 突き違いの手筋。△５五同歩▲５八飛△５二飛▲５五銀△５四歩▲７六歩の進行は後手が手損する恐れがある。
手数 39: １４時の局面。消費時間は大平５１分、中村太１時間４４分。
手数 40: １時間９分の長考。
手数 44: 互いに強気な指し手。読み勝っているのはどちらか。
手数 45: １５時１５分の局面。消費時間は大平１時間２分、中村太２時間５８分。
手数 47: ３２分の長考。▲５四銀は△６四角▲５九飛△７六歩のような進展が気になったか。
手数 49: １６時３０分の局面。消費時間は大平１時間４２分、中村太３時間３４分。
手数 50: ３６分の長考。
手数 52: １７時３０分の局面。消費時間は大平１時間５８分、中村太４時間１８分。
手数 56: △３一玉の局面で大平が１６分考えて夕食休憩に入った。消費時間は大平２時間３７分、中村太４時間１８分。
手数 69: ２０時過ぎの局面。消費時間は大平２時間５９分、中村４時間５０分。
手数 89: ▲６七同金と欲張ると、△７七金と張り付かれる。拠点を払った方が後腐れがなくて良い。
手数 92: ２１時の局面。残り時間は大平２時間４１分、中村太４５分。
手数 110: 以下▲８八玉△６六角▲同龍△５八龍の筋が受からない。２分考えて大平の投了となった。終局時刻は２１時５７分。消費時間は大平３時間３９分、中村太５時間４４分。勝った中村太は３勝１敗、敗れた大平は２勝２敗となった。
